,Name,R,2B,3B,HR,BB,IBB,SO,BA,OBP,SLG,OPS,bbType_flyBall,bbType_groundBall,bbType_lineDrive,bbType_popUp,2BperPA,3BperPA,HRperPA,BBperPA,IBBperPA,SOperPA,launch_speed_median,launch_angle_median,p1,p2,p3,p4
1,José Abreu,526,233,14,198,263,51,835,0.294,0.35,0.52,0.87,0.199,0.4603333333333333,0.278,0.06266666666666666,0.0559021113243762,0.003358925143953935,0.04750479846449136,0.06309980806142035,0.012236084452975048,0.2003358925143954,92.8,10.0,-2.926211707432235,-1.576854262853239,-1.3221490041954385,2.9585853827706616
2,Dustin Ackley,261,94,18,46,194,10,420,0.241,0.304,0.3670000000000001,0.6709999999999999,0.2377096587622904,0.4592249855407751,0.22151532677848468,0.08155002891844998,0.04003407155025554,0.007666098807495741,0.01959114139693356,0.08262350936967633,0.004258943781942078,0.1788756388415673,91.2,13.0,-2.8683758780704878,-1.5137979502542744,-1.2706300022425399,2.9446314626231453
3,Matt Adams,294,129,6,118,161,16,634,0.259,0.307,0.467,0.774,0.2725788900979325,0.3775843307943417,0.27094668117519044,0.07889009793253536,0.05011655011655012,0.002331002331002331,0.04584304584304584,0.06254856254856253,0.006216006216006216,0.2463092463092463,91.3,17.0,-2.8669347801398968,-1.4152058241024137,-1.1761865205423563,2.9866495911158064
4,Nick Ahmed,277,112,20,60,167,11,456,0.239,0.293,0.389,0.6809999999999999,0.2121719709659408,0.4712451144611949,0.25125628140703515,0.06532663316582915,0.046166529266281946,0.008244023083264633,0.0247320692497939,0.06883759274525969,0.004534212695795548,0.18796372629843364,89.15,11.0,-2.8129839107723558,-1.4969069850660286,-1.2605686121997044,2.861475820864997
5,Ozzie Albies,262,97,18,60,116,6,294,0.279,0.33,0.473,0.8029999999999999,0.27532097004279604,0.39443651925820256,0.25891583452211125,0.07132667617689016,0.055302166476624864,0.010262257696693271,0.034207525655644236,0.0661345496009122,0.0034207525655644247,0.1676168757126568,89.8,16.0,-2.818099134159732,-1.4143794259440337,-1.163847822663496,2.927442108559651
6,Yonder Alonso,391,181,2,100,366,29,647,0.259,0.333,0.404,0.736,0.24335154826958105,0.4364298724954463,0.248816029143898,0.07140255009107467,0.047985153764581116,0.0005302226935312832,0.02651113467656416,0.09703075291622483,0.007688229056203605,0.1715270413573701,90.7,14.0,-2.862681158750316,-1.4799298125702687,-1.240317518225821,2.931623085728261
7,Jose Altuve,766,308,28,133,377,38,662,0.311,0.361,0.458,0.8190000000000001,0.22117990410673333,0.4888471961642694,0.2366062122159683,0.053366687513028976,0.05434015525758645,0.00494001411432604,0.023465067043048696,0.06651376146788991,0.006704304869442485,0.11679604798870855,89.2,11.0,-2.8010072978701217,-1.5147508871904718,-1.2486827671736136,2.8667011220994376
8,Pedro Alvarez,365,131,6,162,314,31,952,0.236,0.31,0.447,0.757,0.24975704567541301,0.4810495626822158,0.20602526724975706,0.06316812439261417,0.039445950015055714,0.0018066847335140015,0.04878048780487805,0.09454983438723276,0.009334537789822343,0.2866606443842216,93.7,8.0,-2.9467690758689082,-1.6774963041271198,-1.4223745686279365,2.955096686977915
9,Alexi Amarista,171,67,16,21,109,13,295,0.231,0.275,0.32299999999999995,0.599,0.2222222222222222,0.4892904953145917,0.2376171352074967,0.05087014725568943,0.03524460810099948,0.008416622830089426,0.011046817464492372,0.05733824302998423,0.00683850604944766,0.1551814834297738,87.2,10.0,-2.740135815035556,-1.4827300836898507,-1.2504025078183174,2.8067715177520736
10,Tim Anderson,332,119,14,74,81,2,587,0.281,0.308,0.443,0.7509999999999999,0.19416909620991246,0.5113702623906705,0.2548104956268222,0.03965014577259475,0.04995801847187237,0.005877413937867338,0.03106633081444165,0.03400503778337532,0.0008396305625524769,0.246431570109152,89.7,8.0,-2.820874265433891,-1.5706363594375112,-1.314096626871533,2.862838218500172
11,Elvis Andrus,893,303,48,76,516,5,962,0.274,0.33,0.3720000000000001,0.7020000000000001,0.17092819614711033,0.554816112084063,0.2252189141856392,0.04903677758318739,0.042802655742336486,0.006780618731459246,0.010735979658143806,0.07289165136318689,0.0007063144511936714,0.13589490040966234,89.2,8.0,-2.811000038440857,-1.5766660115956426,-1.3250167099423509,2.8394010616369947
13,Nori Aoki,377,135,22,33,234,3,258,0.285,0.35,0.387,0.738,0.14594807238394966,0.6117230527143981,0.2010228166797797,0.04130605822187254,0.044349540078843626,0.0072273324572930345,0.010840998685939551,0.07687253613666227,0.0009855453350854136,0.08475689881734559,88.2,0.0,-2.7915727655369427,-1.7206250202471378,-1.4571601480489773,2.7210880764600907
14,Orlando Arcia,182,69,7,42,123,14,375,0.244,0.295,0.366,0.66,0.16738197424892706,0.530758226037196,0.2410586552217453,0.060801144492131615,0.03699731903485255,0.0037533512064343174,0.022520107238605896,0.06595174262734585,0.007506702412868633,0.20107238605898126,89.5,6.0,-2.8313341476902427,-1.599637328320856,-1.3685516885329705,2.82789342336582
15,Nolan Arenado,649,262,27,235,362,58,684,0.293,0.349,0.541,0.89,0.2502139800285307,0.3746077032810271,0.27788873038516404,0.09728958630527818,0.05748135146994296,0.005923650724001754,0.0515577007459412,0.07942079859587538,0.012724879333040808,0.1500658183413778,91.75,17.0,-2.8869163800263977,-1.4125506551353528,-1.1699422716952284,2.985037807272946
16,J.P. Arencibia,169,67,4,80,85,4,484,0.212,0.258,0.412,0.67,0.3460490463215259,0.3587647593097185,0.18710263396911891,0.1080835603996367,0.039715471250740965,0.002371072910491997,0.04742145820983995,0.05038529934795495,0.002371072910491997,0.2868998221695317,91.9,15.5,-2.8643434151353877,-1.487638075791558,-1.2276162751470425,2.9964109116486513
17,Alex Avila,347,146,8,104,509,23,1031,0.235,0.348,0.394,0.742,0.2834722903384012,0.45512506130456104,0.23835213339872485,0.0230505149583129,0.04139495321803232,0.002268216614686702,0.02948681599092713,0.14431528210944145,0.00652112276722427,0.2923164162177488,94.2,12.0,-2.9758833339056903,-1.6274800429474379,-1.3862416209392963,2.999900351832381
18,Mike Aviles,380,139,13,60,141,6,424,0.261,0.295,0.376,0.6709999999999999,0.2495288352808141,0.4621183565774595,0.19449679607990952,0.0938560120618168,0.04298082869511441,0.004019789734075447,0.01855287569573284,0.04359925788497217,0.0018552875695732839,0.1311069882498454,87.8,7.0,-2.763196003714354,-1.5583105263131727,-1.3012600804983239,2.7941840600553696
19,Erick Aybar,620,250,44,57,275,18,630,0.272,0.315,0.375,0.69,0.20555555555555555,0.5418803418803418,0.1880341880341881,0.06431623931623931,0.04649432769202157,0.008183001673795797,0.01060070671378092,0.05114376046122373,0.003347591593825553,0.11716570578389435,86.4,5.0,-2.7186363578631414,-1.585067887143064,-1.3201448110218597,2.728436645049921
20,Javier Baez,371,142,17,118,128,30,769,0.264,0.304,0.473,0.777,0.22234099412079106,0.4788882950293961,0.2260823089257082,0.07268840192410475,0.05243722304283604,0.006277695716395864,0.04357459379615953,0.047267355982274745,0.011078286558345642,0.28397341211226,90.4,10.0,-2.839554042656605,-1.55073375433278,-1.2918293416251305,2.891998519147108
21,Jeff Baker,208,95,11,44,120,5,406,0.266,0.318,0.426,0.7440000000000001,0.2692020879940343,0.4690529455630127,0.21998508575689785,0.041759880686055184,0.05594817432273263,0.006478209658421673,0.02591283863368669,0.0706713780918728,0.0029446407538280327,0.2391048292108363,90.1,2.0,-2.857786793969556,-1.7191977719745908,-1.4515473825457945,2.7951702909951623
23,Clint Barmes,301,155,11,70,174,24,593,0.243,0.294,0.379,0.6729999999999999,0.3151934570619692,0.3466498899024851,0.21044353570305127,0.1277131173324945,0.04982320797171328,0.0035358405657344907,0.02250080360012857,0.055930568948891035,0.007714561234329799,0.19061395049823207,84.9,21.0,-2.661762529461402,-1.2211044374061495,-0.9901790750961975,2.8398845048239987
24,Darwin Barney,297,117,15,31,155,11,349,0.246,0.294,0.341,0.635,0.2289156626506024,0.4810352521195895,0.2217759928603302,0.0678268630075859,0.042406669083001086,0.005436752446538601,0.011235955056179777,0.05617977528089888,0.003986951794128307,0.1264951069227981,85.95,10.0,-2.704935699209632,-1.462179147613667,-1.2211178475736946,2.7662653970294366
25,Tucker Barnhart,178,94,6,44,217,34,402,0.248,0.326,0.3720000000000001,0.698,0.1935275080906149,0.4809061488673139,0.2776699029126213,0.04789644012944984,0.043258168430740915,0.002761159687068569,0.02024850437183617,0.09986194201564658,0.015646571560055222,0.1849976990335941,88.4,11.0,-2.8053260798652335,-1.476592541692837,-1.263015587337575,2.8312531094538995
28,Jose Bautista,880,252,12,313,908,55,1136,0.249,0.368,0.4920000000000001,0.8590000000000001,0.2968912998122262,0.3911954934279157,0.19132067598581265,0.12059253077404547,0.04175642087821044,0.001988400994200497,0.051864125932062966,0.15045567522783762,0.009113504556752278,0.18823529411764706,92.45,17.0,-2.9125546213456226,-1.4778606244263959,-1.2435530185704737,2.9766575397083326
30,Gordon Beckham,420,187,7,80,266,6,671,0.237,0.3,0.3670000000000001,0.667,0.2747134670487106,0.4251432664756447,0.20522922636103152,0.0949140401146132,0.04943166798836902,0.001850383293682263,0.021147237642083004,0.07031456515992597,0.0015860428231562252,0.1773724557229712,87.55,12.0,-2.7614635486287615,-1.464054332299226,-1.2160445289800508,2.8239478779603964
31,Tim Beckham,201,75,15,63,111,0,505,0.249,0.302,0.431,0.733,0.21409455842997324,0.4897413024085638,0.23639607493309545,0.05887600356824264,0.04283266704740148,0.008566533409480295,0.03597944031981725,0.0633923472301542,0.0,0.2884066247858367,89.8,10.0,-2.8285754875550593,-1.5405415223010939,-1.302936582046191,2.868622284252535
32,Josh Bell,283,105,13,86,260,23,417,0.261,0.349,0.466,0.8140000000000001,0.2197875166002656,0.4960159362549801,0.2250996015936255,0.05909694555112883,0.04792332268370607,0.005933363760839799,0.03925148334094021,0.118667275216796,0.01049748973071657,0.1903240529438613,91.4,9.0,-2.8881497407115693,-1.6071030521642322,-1.3600566885846945,2.8815305223563534
33,Cody Bellinger,325,98,14,123,258,45,447,0.273,0.364,0.547,0.911,0.2811459027315123,0.37175216522318455,0.25116588940706197,0.09526982011992004,0.04702495201535509,0.00671785028790787,0.059021113243762004,0.1238003838771593,0.02159309021113244,0.2144913627639156,92.5,17.0,-2.912196222765158,-1.4473030630095085,-1.220287557078952,2.9867747612934386
34,Brandon Belt,538,244,33,138,532,30,1021,0.263,0.35600000000000004,0.453,0.81,0.3071625344352617,0.3264462809917356,0.2916666666666667,0.0747245179063361,0.055454545454545465,0.0075,0.031363636363636364,0.12090909090909092,0.006818181818181818,0.2320454545454545,90.9,22.0,-2.875164328591971,-1.3180612319750304,-1.1011084437394154,3.001145606968868
35,Carlos Beltran,663,287,20,199,493,62,848,0.278,0.34600000000000003,0.476,0.8220000000000001,0.2830385015608741,0.4270291363163372,0.20187304890738814,0.08805931321540063,0.05501245926777842,0.003833620854897451,0.03814452750622963,0.09449875407322217,0.011884224650182094,0.1625455242476519,90.3,13.0,-2.83667970262132,-1.5102590519319792,-1.2447682705904939,2.900325116705564
36,Adrian Beltre,824,344,13,260,439,68,812,0.299,0.35100000000000003,0.498,0.8490000000000001,0.2822779145222645,0.4134034459610651,0.22107854106063995,0.08324009845603042,0.05424156417533901,0.0020498265531378114,0.040996531062756233,0.06922106590980763,0.010722169662567014,0.1280353200883002,91.3,13.0,-2.8576242380192873,-1.5165873571178838,-1.2430020302657838,2.944241496721619
37,Andrew Benintendi,279,119,13,51,221,9,400,0.273,0.353,0.435,0.789,0.2627450980392157,0.4111111111111111,0.2633986928104575,0.06274509803921569,0.05655893536121673,0.006178707224334601,0.02423954372623574,0.1050380228136882,0.0042775665399239545,0.19011406844106465,90.3,15.0,-2.8582988954053272,-1.4543247024976904,-1.21528186704797,2.921084708766119
40,Mookie Betts,660,238,27,155,395,26,502,0.301,0.373,0.522,0.895,0.2704280155642023,0.3761348897535668,0.26297016861219197,0.09046692607003892,0.061419354838709674,0.006967741935483871,0.04,0.10193548387096774,0.006709677419354839,0.1295483870967742,92.6,16.0,-2.9226075749893163,-1.469132988905756,-1.2157838206552267,2.994323186067668
41,Charlie Blackmon,743,239,48,178,317,28,800,0.304,0.36,0.506,0.865,0.23268156424581005,0.4131284916201117,0.28854748603351954,0.06564245810055866,0.050284031138228484,0.010098884914790659,0.03745003155901536,0.06669471912476331,0.005891016200294551,0.1683147485798443,89.95,15.0,-2.8309156231086927,-1.4170304919928947,-1.1851481304335425,2.920984006683944
43,Gregor Blanco,394,118,39,26,363,21,661,0.255,0.338,0.348,0.687,0.20785123966942148,0.4892561983471074,0.23388429752066114,0.06900826446280993,0.03523439832785906,0.01164526724395342,0.0077635114959689455,0.10839056434756644,0.006270528515974918,0.19737234995521047,87.15,12.0,-2.7638943266695275,-1.4484001554813037,-1.2426498520434073,2.7989431497004236
44,Willie Bloomquist,239,65,17,12,110,6,292,0.274,0.318,0.349,0.667,0.2263843648208469,0.5032573289902279,0.1958469055374593,0.0745114006514658,0.033522434244455904,0.008767405879319236,0.006188757091284167,0.056730273336771525,0.003094378545642084,0.15059308922124806,87.5,9.0,-2.7479134746602263,-1.5216131818860836,-1.2787149315672075,2.807115393668436
45,Brennan Boesch,192,79,7,48,109,9,344,0.25,0.303,0.4,0.703,0.2644694533762058,0.4710610932475885,0.17282958199356913,0.09163987138263666,0.04611792177466433,0.004086398131932283,0.02802101576182137,0.06363105662580268,0.005253940455341506,0.20081727962638649,87.1,-0.5,-2.767224799882582,-1.7003379672751693,-1.4465828826016631,2.677415510458394
46,Xander Bogaerts,578,236,14,118,342,16,755,0.289,0.35100000000000003,0.454,0.805,0.22329162656400384,0.4600577478344562,0.233878729547642,0.08277189605389798,0.05681271064034665,0.003370245546461242,0.028406355320173327,0.08233028406355321,0.003851709195955705,0.18175252768415984,90.4,9.0,-2.8663971198337097,-1.570171080242815,-1.3170686660857176,2.8701658675213397
47,Emilio Bonifacio,354,94,33,13,211,4,602,0.256,0.312,0.333,0.645,0.1859903381642512,0.5748792270531401,0.18840579710144928,0.050724637681159424,0.032752613240418116,0.011498257839721254,0.0045296167247386755,0.0735191637630662,0.0013937282229965155,0.2097560975609756,84.7,8.0,-2.667031742828598,-1.500766404929405,-1.271205912393349,2.7004272898391175
48,Justin Bour,206,71,2,92,218,26,447,0.253,0.337,0.457,0.794,0.20953870211102424,0.4652071931196247,0.24159499609069585,0.0836591086786552,0.036410256410256414,0.0010256410256410256,0.04717948717948718,0.1117948717948718,0.013333333333333334,0.22923076923076924,91.25,11.0,-2.8865086159352953,-1.5396157275029154,-1.3227016094956876,2.901135715528599
49,Peter Bourjos,284,91,37,43,134,7,562,0.237,0.293,0.376,0.669,0.20773549594510293,0.5396132252027449,0.16593886462882096,0.08671241422333126,0.03898886032562125,0.015852613538988862,0.01842330762639246,0.05741216795201371,0.002999143101970865,0.24078834618680375,87.1,7.0,-2.739134738760684,-1.5633260426042892,-1.315617678701861,2.7602921551698767
50,Michael Bourn,647,188,66,35,431,11,1100,0.266,0.329,0.35700000000000004,0.6859999999999999,0.20304568527918784,0.5645204381512156,0.2033128506545552,0.029121025915041406,0.03630044410117783,0.0127437729291369,0.0067580614018150215,0.08322069897663642,0.0021239621548561497,0.212396215485615,86.95,9.0,-2.7321668273963224,-1.5336425570249248,-1.2927208992123778,2.7761145900186266
51,Jackie Bradley Jr.,435,162,23,98,304,17,828,0.239,0.321,0.412,0.732,0.23386342376052385,0.4915809167446211,0.2146866230121609,0.059869036482694114,0.04937519049070405,0.007010057909174032,0.029868942395611095,0.09265467845169156,0.0051813471502590676,0.2523620847302652,92.15,10.0,-2.9045454683515874,-1.609523247880521,-1.3505263050529503,2.9322654563782358
52,Michael Brantley,655,303,21,114,419,34,573,0.297,0.354,0.44,0.794,0.20681044267877413,0.4758229284903519,0.2717366628830874,0.04562996594778662,0.0570944036178632,0.00395703787450537,0.02148106274731487,0.07895232711513096,0.006406632749199171,0.10797060486150367,91.4,10.0,-2.8868925649101684,-1.565146793716998,-1.3049115081273273,2.9200913358835816
53,Ryan Braun,989,382,43,318,557,55,1251,0.294,0.35700000000000004,0.525,0.882,0.2416867917518113,0.4714843024335872,0.2219951699795653,0.06464796581831693,0.055782710280373834,0.006279205607476635,0.04643691588785047,0.0813376168224299,0.008031542056074766,0.18268107476635514,92.7,7.0,-2.918911210717338,-1.6667250914202945,-1.3919915306620416,2.9135292465961635
54,Alex Bregman,365,152,12,105,309,7,343,0.28300000000000003,0.381,0.521,0.902,0.27899686520376177,0.34743991640543365,0.274294670846395,0.0992685475444096,0.06286186931348221,0.0049627791563275426,0.043424317617866005,0.12779156327543426,0.0028949545078577337,0.14185277088502896,90.8,18.0,-2.882408698181587,-1.3911141013019022,-1.1603982213544308,2.942893337651493
55,Domonic Brown,188,73,9,54,138,13,317,0.246,0.305,0.405,0.71,0.2230828814872192,0.4601084430673896,0.23392718822618125,0.08288148721920993,0.04176201372997712,0.005148741418764302,0.030892448512585814,0.07894736842105263,0.007437070938215103,0.181350114416476,86.75,11.0,-2.7407089547796475,-1.4483754457643958,-1.226577526853391,2.7795788589213593
56,Jay Bruce,836,311,32,318,595,71,1558,0.245,0.314,0.469,0.7829999999999999,0.3115893297466936,0.3779421654337593,0.2351490697153105,0.07509527011880744,0.04710693729172978,0.0048470160557406855,0.048167222053923056,0.09012420478642837,0.010754316873674643,0.2359890942138746,90.8,19.0,-2.8368020729843426,-1.3935730504275088,-1.1485606666856099,2.97820552326809
57,Kris Bryant,506,172,17,142,381,17,773,0.28,0.38,0.508,0.889,0.2975011786892975,0.3521923620933522,0.2654408297972655,0.08486562942008488,0.05289052890528905,0.005227552275522756,0.043665436654366535,0.11715867158671585,0.005227552275522756,0.23769987699877,90.2,19.0,-2.8512426763230705,-1.3675005013927732,-1.1464570500384819,2.9437797827444596
60,Billy Butler,554,299,3,139,473,54,784,0.29,0.355,0.441,0.795,0.24867846472075386,0.49046196276717996,0.2155826246839807,0.0452769478280855,0.05615023474178404,0.0005633802816901409,0.02610328638497653,0.0888262910798122,0.010140845070422537,0.1472300469483568,92.1,8.5,-2.8961166026301757,-1.643450974054771,-1.3598471829670506,2.923086621126452
61,Marlon Byrd,496,228,22,129,245,21,879,0.276,0.327,0.446,0.773,0.2487584650112867,0.4650112866817156,0.22325056433408572,0.06297968397291198,0.05409252669039146,0.005219454329774615,0.030604982206405694,0.05812574139976275,0.00498220640569395,0.2085409252669039,89.2,15.0,-2.7888756290510996,-1.4451904329901324,-1.1794666487082108,2.908774301277632
62,Asdrubal Cabrera,822,371,26,185,536,25,1221,0.267,0.329,0.426,0.755,0.2737302644093589,0.4392238919535857,0.220087502377782,0.06695834125927334,0.05405799213172082,0.0037884307154305696,0.02695614162902521,0.0780999562873379,0.003642721841760163,0.17791053475156635,90.8,15.0,-2.8450262450945867,-1.4830826253956422,-1.2142068634100023,2.9516823142553097
63,Everth Cabrera,228,73,20,12,175,10,432,0.246,0.315,0.328,0.643,0.13683483068417415,0.6454733932273671,0.1831375259156877,0.03455425017277125,0.03529980657640232,0.009671179883945842,0.005802707930367505,0.08462282398452611,0.004835589941972921,0.20889748549323015,90.3,-4.0,-2.868797503345419,-1.8501762949427851,-1.5949011340736128,2.7459806711738404
64,Melky Cabrera,753,333,35,129,411,38,762,0.287,0.333,0.422,0.755,0.2086237639811963,0.4906792024639325,0.22872426649375915,0.0718106662343978,0.052251686803703117,0.00549191903342225,0.02024164443747058,0.06449082064961556,0.0059626549505727286,0.11956692295622155,90.3,9.0,-2.8449785571369794,-1.5691606106991718,-1.3049870312170542,2.8816865613990035
65,Miguel Cabrera,1008,398,7,349,837,165,1217,0.314,0.392,0.539,0.932,0.2732902885755699,0.4257477928580841,0.2462775069179075,0.05468441164843853,0.053841991341991344,0.0009469696969696971,0.04721320346320346,0.11323051948051947,0.02232142857142857,0.1646374458874459,94.9,12.0,-2.9821674194397265,-1.6135463663132743,-1.3452205080180304,3.026472878759292
67,Lorenzo Cain,569,207,24,78,328,14,770,0.28800000000000003,0.348,0.413,0.7609999999999999,0.19540924192086984,0.4886741165810933,0.2630625188764724,0.052552099063726966,0.04794996525364837,0.005559416261292564,0.018068102849200837,0.07597868890433171,0.003242992819087329,0.17836460504980312,90.9,7.0,-2.8841746681352505,-1.6090279432801762,-1.3679854207301303,2.8758650808491315
68,Kole Calhoun,565,176,17,156,395,15,912,0.248,0.32299999999999995,0.429,0.753,0.2446993395898505,0.427181091414668,0.27181091414668057,0.056308654848800835,0.04182509505703422,0.0040399239543726225,0.0370722433460076,0.09386882129277567,0.0035646387832699617,0.21673003802281368,90.65,14.0,-2.8591697302719683,-1.4691948147612317,-1.24575658724757,2.925218190077129
69,Alberto Callaspo,379,161,13,52,337,20,345,0.267,0.332,0.369,0.701,0.29170521122417514,0.4323157570151095,0.21245760098674069,0.06352143077397472,0.042899014122035714,0.0034638955502264853,0.013855582200905941,0.08979483080202505,0.0053290700772715156,0.09192645883293367,84.1,15.0,-2.6381691516587473,-1.346331539006447,-1.1105487410689108,2.744550335703085
70,Mark Canha,253,85,9,72,178,5,421,0.249,0.34,0.445,0.785,0.242914979757085,0.388663967611336,0.25182186234817816,0.1165991902834008,0.045527584359935716,0.0048205677557579,0.0385645420460632,0.09534011783610068,0.002678093197643278,0.22549544724156398,90.3,15.0,-2.8649265977881493,-1.4287646728711312,-1.2155265476364832,2.917367385024237
