,Name,R,2B,3B,HR,BB,IBB,SO,BA,OBP,SLG,OPS,bbType_flyBall,bbType_groundBall,bbType_lineDrive,bbType_popUp,2BperPA,3BperPA,HRperPA,BBperPA,IBBperPA,SOperPA,launch_speed_median,launch_angle_median,p1,p2,p3,p4
279,Cameron Maybin,546,170,34,71,362,11,887,0.258,0.326,0.378,0.7040000000000001,0.1812905428473882,0.5585524069648344,0.201433936497098,0.05872311369067941,0.04082612872238232,0.008165225744476465,0.01705091258405379,0.08693563880883766,0.002641690682036503,0.21301633045148896,89.2,5.0,-2.8234830883503297,-1.6433566010116378,-1.3988791916537648,2.7966834439018875
280,Nomar Mazara,266,101,7,80,172,11,507,0.258,0.318,0.426,0.7440000000000001,0.2046285018270402,0.4951278928136419,0.2308160779537149,0.06942752740560293,0.04319931565440548,0.002994011976047905,0.03421727972626176,0.07356715141146279,0.004704875962360992,0.21685201026518391,90.9,8.5,-2.867580961276231,-1.590026872240897,-1.3449409242398918,2.886705330794132
281,Brian McCann,610,215,5,235,546,51,900,0.254,0.334,0.443,0.7759999999999999,0.3168986852281516,0.3814771848414539,0.2028228924980665,0.09880123743232792,0.03837915030346305,0.0008925383791503035,0.04194930382006426,0.09746519100321313,0.009103891467333095,0.1606569082470546,90.3,17.0,-2.8226924807230676,-1.4260412718872655,-1.1824049420199336,2.9437825734864362
282,James McCann,217,87,9,65,129,1,573,0.249,0.3,0.394,0.6940000000000001,0.22631578947368425,0.43157894736842106,0.27039473684210524,0.07171052631578947,0.03875278396436525,0.0040089086859688185,0.028953229398663693,0.057461024498886425,0.00044543429844097997,0.2552338530066815,90.45,13.0,-2.853854792735684,-1.470728204622221,-1.249646152222214,2.9299382414651043
283,Andrew McCutchen,974,343,48,243,845,64,1286,0.285,0.376,0.478,0.8540000000000001,0.27139616415755824,0.4130748607960405,0.249742214889668,0.06578676015673335,0.04890219560878244,0.006843455945252352,0.034644995722840036,0.12047333903621328,0.009124607927003136,0.18334759053321928,92.5,14.0,-2.9199373115423244,-1.5222881668779502,-1.2816152257149396,2.969105398259514
284,Casey McGehee,285,141,6,67,249,14,517,0.258,0.317,0.384,0.701,0.24622030237580994,0.4958963282937365,0.19568034557235425,0.06220302375809935,0.045690213869086185,0.001944264419961115,0.02171095268956578,0.08068697342838628,0.004536616979909268,0.16753078418664938,90.35,4.0,-2.8545396734342794,-1.6891908004686957,-1.4238636499441746,2.8259881129022473
286,Jordy Mercer,317,166,15,64,237,56,556,0.256,0.315,0.386,0.7020000000000001,0.20855183541750705,0.4776119402985074,0.25574828559903184,0.05808793868495361,0.05045592705167173,0.004559270516717325,0.01945288753799392,0.07203647416413374,0.01702127659574468,0.16899696048632218,89.2,10.5,-2.8163954780836935,-1.5078521860422074,-1.2649306798684286,2.8629574168666254
287,Whit Merrifield,355,150,22,58,166,8,433,0.295,0.342,0.444,0.787,0.2410932162030259,0.386041971693509,0.3035627135187897,0.06930209858467545,0.056200824278756084,0.008242787560884226,0.021730985387785687,0.06219557886849007,0.0029973772948669914,0.1622330460846759,89.9,16.0,-2.8417878539365944,-1.391326864677361,-1.1598090473940035,2.9392849061615065
288,Brad Miller,316,117,27,95,277,8,681,0.24,0.316,0.421,0.737,0.23372465314834576,0.45570971184631803,0.23372465314834576,0.0768409818569904,0.0410958904109589,0.009483667017913594,0.033368458025992274,0.09729539866526167,0.002809975412715139,0.23919915700737615,92.0,11.0,-2.906753754622225,-1.5651484475773028,-1.3322042016164057,2.932236339773826
290,Yadier Molina,606,319,6,138,417,36,669,0.289,0.339,0.417,0.755,0.2394783639596917,0.4650266745702431,0.236366330764671,0.05898043864848844,0.049968671679198,0.0009398496240601504,0.021616541353383457,0.06531954887218046,0.005639097744360902,0.10479323308270676,89.9,13.0,-2.81662633568029,-1.4894742354297734,-1.224309323000933,2.9145764168183295
291,Yoan Moncada,218,83,16,56,165,3,529,0.26,0.335,0.448,0.7829999999999999,0.2397191574724173,0.4122367101303912,0.2878635907723169,0.06018054162487463,0.04908338261383797,0.009461856889414548,0.03311649911295092,0.09757539917208753,0.0017740981667652273,0.3128326434062685,92.35,13.5,-2.933180874943388,-1.507478506245705,-1.2897334813866395,2.967842126994332
292,Miguel Montero,428,189,7,116,425,54,843,0.258,0.343,0.412,0.755,0.2837162837162837,0.4385614385614386,0.21744921744921744,0.06027306027306027,0.04630083292503675,0.0017148456638902498,0.02841744243018128,0.1041156295933366,0.013228809407153356,0.20651641352278294,88.3,13.0,-2.780141763127789,-1.4723446061366996,-1.2310026444190802,2.8428117047667913
293,Kendrys Morales,551,237,6,204,394,36,929,0.266,0.329,0.456,0.784,0.26339509263895844,0.4752128192288433,0.21106659989984972,0.050325488232348524,0.047248803827751186,0.0011961722488038275,0.04066985645933014,0.07854864433811802,0.0071770334928229675,0.185207336523126,94.6,10.0,-2.9560749572615785,-1.6628010789820373,-1.376997576668682,3.016444780007794
294,Mitch Moreland,499,208,8,176,367,34,917,0.252,0.32,0.448,0.767,0.2679908824487138,0.4412243568870075,0.2285900358189515,0.06219472484532725,0.048552754435107384,0.0018674136321195146,0.04108309990662932,0.08566760037348273,0.007936507936507936,0.21405228758169934,92.0,12.0,-2.888752028113411,-1.5579082248923886,-1.2985190913585483,2.9497058442658894
296,Justin Morneau,476,237,15,137,375,55,626,0.285,0.35200000000000004,0.471,0.823,0.29691702876060416,0.4165114835505897,0.20546244568590932,0.08090213118146079,0.05790373808942096,0.003664793549963352,0.03347178108966528,0.0916198387490838,0.013437576349865624,0.15294405081847054,91.9,9.0,-2.8965471853578513,-1.6189807320084562,-1.3426292642312354,2.912546346455143
297,Logan Morrison,416,163,21,140,393,25,740,0.238,0.32299999999999995,0.425,0.7490000000000001,0.26101954771943275,0.4285166730548103,0.2253737064009199,0.0850900728248371,0.043133103995766066,0.005557025668166181,0.03704683778777455,0.1039957660756814,0.006615506747816882,0.19581899973537967,91.0,16.0,-2.859283763730187,-1.455054821854978,-1.217082922442825,2.950661589082385
298,Mike Morse,263,122,7,102,156,7,607,0.271,0.326,0.465,0.7909999999999999,0.2556352459016393,0.4836065573770492,0.2223360655737705,0.038422131147540985,0.049055086449537585,0.0028146361077603537,0.041013268998793734,0.06272617611580218,0.0028146361077603537,0.2440691596300764,89.4,4.0,-2.8185244514985466,-1.6631161233305585,-1.4013238163569564,2.7942280380002753
