,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
852,524,FF,2021-10-20,98.2,-0.29,6.38,"Stanek, Ryne",571771.0,592773.0,,ball,,,,,14.0,Enrique Hernandez flies out to right fielder Kyle Tucker.,L,R,R,BOS,HOU,B,,,1.0,0.0,2021.0,-0.71,1.59,1.28,1.94,,,,0.0,9.0,Bot,,,,,455117.0,,,5.83654332950448,-142.6568623587557,-10.125545072541204,-10.991450471037293,33.52091299352059,-8.294857332809602,3.31,1.63,,,,97.4,2355.0,6.0,660900.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.52,,,,,,,,72.0,2.0,4-Seam Fastball,1.0,9.0,1.0,9.0,9.0,1.0,1.0,9.0,Infield shift,Standard,205.0,0.0,0.07
853,553,FF,2021-10-20,97.6,-0.59,6.24,"Stanek, Ryne",571771.0,592773.0,,ball,,,,,13.0,Enrique Hernandez flies out to right fielder Kyle Tucker.,L,R,R,BOS,HOU,B,,,0.0,0.0,2021.0,-0.96,1.36,-1.37,2.34,,,,0.0,9.0,Bot,,,,,455117.0,,,0.09632551651249972,-142.05892859029527,-8.054182414674925,-13.055803186188044,32.62649858730492,-12.148139049554553,3.46,1.71,,,,96.8,2219.0,5.8,660900.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.67,,,,,,,,72.0,1.0,4-Seam Fastball,1.0,9.0,1.0,9.0,9.0,1.0,1.0,9.0,Infield shift,Standard,217.0,0.0,0.038
873,0,CU,2021-10-20,78.5,0.88,5.72,"Valdez, Framber",543877.0,664285.0,field_out,hit_into_play,,,,,8.0,Christian Vazquez flies out to left fielder Michael Brantley.,L,R,L,BOS,HOU,X,7.0,fly_ball,0.0,2.0,2021.0,-1.06,-1.28,-0.02,1.49,,,,2.0,8.0,Bot,66.0,98.0,,,455117.0,,,0.021390409888808803,-114.30601148185671,0.13506374672137222,-9.237314418177068,24.090583975915862,-43.578902408194196,3.29,1.49,331.0,89.3,28.0,77.3,2864.0,5.7,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.76,0.067,0.084,0.0,1.0,0.0,0.0,3.0,64.0,3.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,326.0,-0.001,-0.061
874,1,CH,2021-10-20,89.8,0.97,5.74,"Valdez, Framber",543877.0,664285.0,,foul,,,,,9.0,Christian Vazquez flies out to left fielder Michael Brantley.,L,R,L,BOS,HOU,S,,,0.0,1.0,2021.0,1.27,-0.25,0.53,2.05,,,,2.0,8.0,Bot,,,,,455117.0,,,-3.736708345316588,-130.59234292052994,-2.523870397832185,15.279999266551025,31.28519235449828,-34.600010396535076,3.29,1.49,3.0,61.9,-38.0,88.4,1576.0,5.8,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.71,,,,,,,,64.0,2.0,Changeup,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,111.0,0.0,-0.024
875,3,CU,2021-10-20,77.6,1.07,5.74,"Valdez, Framber",543877.0,664285.0,,called_strike,,,,,8.0,Christian Vazquez flies out to left fielder Michael Brantley.,L,R,L,BOS,HOU,S,,,0.0,0.0,2021.0,-1.05,-1.29,0.02,1.73,,,,2.0,8.0,Bot,,,,,455117.0,,,-0.3305284218830449,-112.91357541081516,0.7648189906172267,-8.828733620035633,23.0028348638248,-43.49224114821197,3.26,1.55,,,,76.3,2987.0,5.7,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.85,,,,,,,,64.0,1.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,40.0,0.0,-0.018000000000000002
876,5,CU,2021-10-20,78.8,0.82,5.78,"Valdez, Framber",624414.0,664285.0,field_out,hit_into_play,,,,,3.0,Christian Arroyo lines out to right fielder Kyle Tucker.,L,R,L,BOS,HOU,X,9.0,line_drive,2.0,2.0,2021.0,-0.96,-1.42,0.55,3.15,,,,1.0,8.0,Bot,201.61,106.69,,,455117.0,,,1.1858494553203878,-114.65935649163698,3.7489319527758473,-8.671890245816751,23.411563582271302,-45.571774933419846,3.41,1.56,295.0,93.9,21.0,77.7,2834.0,5.8,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.73,0.243,0.287,0.0,1.0,0.0,0.0,3.0,63.0,7.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,329.0,-0.002,-0.142
877,7,SI,2021-10-20,96.1,0.64,5.89,"Valdez, Framber",624414.0,664285.0,,foul,,,,,3.0,Christian Arroyo lines out to right fielder Kyle Tucker.,L,R,L,BOS,HOU,S,,,2.0,2.0,2021.0,0.81,0.6,0.35,2.84,,,,1.0,8.0,Bot,,,,,455117.0,,,-2.567374760513416,-139.94306235035378,-3.8112262284156633,11.287953528212485,31.142176801519607,-23.650077133174086,3.41,1.56,2.0,59.3,-53.0,94.8,2280.0,5.4,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,55.05,,,,,,,,63.0,6.0,Sinker,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,154.0,0.0,0.0
878,10,CU,2021-10-20,80.8,0.82,5.72,"Valdez, Framber",624414.0,664285.0,,ball,,,,,13.0,Christian Arroyo lines out to right fielder Kyle Tucker.,L,R,L,BOS,HOU,B,,,1.0,2.0,2021.0,-0.95,-1.38,-1.36,1.01,,,,1.0,8.0,Bot,,,,,455117.0,,,-3.0138212160853595,-117.51553078372841,-1.1046312691813556,-8.060741735836347,25.66016659054225,-44.779361955201594,3.41,1.6,,,,79.6,2837.0,5.8,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.68,,,,,,,,63.0,5.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,326.0,0.0,0.027999999999999997
879,13,CU,2021-10-20,79.9,0.78,5.77,"Valdez, Framber",624414.0,664285.0,,foul,,,,,7.0,Christian Arroyo lines out to right fielder Kyle Tucker.,L,R,L,BOS,HOU,S,,,1.0,2.0,2021.0,-1.03,-1.43,-0.41,1.78,,,,1.0,8.0,Bot,,,,,455117.0,,,-0.6775270088719763,-116.2232105349079,0.6966895851262618,-9.088223659656473,24.66473834381853,-45.39294712837642,3.41,1.56,,,,78.7,2926.0,5.8,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.73,,,,,,,,63.0,4.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,319.0,0.0,0.0
880,14,SI,2021-10-20,95.2,0.77,5.96,"Valdez, Framber",624414.0,664285.0,,ball,,,,,12.0,Christian Arroyo lines out to right fielder Kyle Tucker.,L,R,L,BOS,HOU,B,,,0.0,2.0,2021.0,1.07,0.53,1.28,3.46,,,,1.0,8.0,Bot,,,,,455117.0,,,-1.028441142774776,-138.67054977506172,-2.113775113591305,14.060196619436006,29.97060386250455,-25.112534089431602,3.37,1.56,,,,94.2,2264.0,5.6,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.9,,,,,,,,63.0,3.0,Sinker,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,148.0,0.0,0.013000000000000001
881,19,SI,2021-10-20,95.5,0.86,5.87,"Valdez, Framber",624414.0,664285.0,,swinging_strike,,,,,6.0,Christian Arroyo lines out to right fielder Kyle Tucker.,L,R,L,BOS,HOU,S,,,0.0,1.0,2021.0,1.25,0.47,0.68,2.17,,,,1.0,8.0,Bot,,,,,455117.0,,,-3.2556748313187285,-138.9677464789184,-5.110832429142022,16.948095201702138,31.235254158222858,-25.081153806846643,3.41,1.56,,,,94.5,2240.0,5.7,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.8,,,,,,,,63.0,2.0,Sinker,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,141.0,0.0,-0.035
882,21,CU,2021-10-20,78.8,1.09,5.8,"Valdez, Framber",624414.0,664285.0,,foul_tip,,,,,7.0,Christian Arroyo lines out to right fielder Kyle Tucker.,L,R,L,BOS,HOU,S,,,0.0,0.0,2021.0,-1.26,-1.22,-0.75,1.76,,,,1.0,8.0,Bot,,,,,455117.0,,,-1.6282639427273542,-114.72257625203156,0.3434071350067196,-10.761530276205917,23.075030667897433,-43.14556849800199,3.41,1.56,,,,77.9,2874.0,5.8,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.7,,,,,,,,63.0,1.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,329.0,0.0,-0.027000000000000003
883,25,CU,2021-10-20,79.2,0.85,5.78,"Valdez, Framber",657077.0,664285.0,field_out,hit_into_play,,,,,13.0,"Alex Verdugo grounds out, second baseman Jose Altuve to first baseman Yuli Gurriel.",L,L,L,BOS,HOU,X,4.0,ground_ball,1.0,2.0,2021.0,-1.16,-1.26,-0.36,1.36,,,,0.0,8.0,Bot,144.95,150.14,,,455117.0,,,-0.4869122980860237,-115.25103443205488,-0.4039209223957907,-10.124770994720425,24.355250407398785,-43.4758189126548,3.37,1.53,6.0,79.7,-13.0,78.2,2845.0,5.9,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.58,0.107,0.111,0.0,1.0,0.0,0.0,2.0,62.0,4.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Infield shift,Standard,333.0,-0.004,-0.17300000000000001
884,26,CU,2021-10-20,77.0,0.98,5.71,"Valdez, Framber",657077.0,664285.0,,swinging_strike,,,,,4.0,"Alex Verdugo grounds out, second baseman Jose Altuve to first baseman Yuli Gurriel.",L,L,L,BOS,HOU,S,,,1.0,1.0,2021.0,-1.07,-1.27,-0.33,2.44,,,,0.0,8.0,Bot,,,,,455117.0,,,-0.8273062272148557,-112.10233405349553,2.373588400598304,-8.77104202938485,22.51337727324438,-43.48293589251376,3.37,1.53,,,,75.9,2678.0,5.7,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.76,,,,,,,,62.0,3.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Infield shift,Standard,320.0,0.0,-0.057
885,31,CU,2021-10-20,79.4,0.95,5.8,"Valdez, Framber",657077.0,664285.0,,ball,,,,,13.0,"Alex Verdugo grounds out, second baseman Jose Altuve to first baseman Yuli Gurriel.",L,L,L,BOS,HOU,B,,,0.0,1.0,2021.0,-1.13,-1.34,-1.52,-0.06,,,,0.0,8.0,Bot,,,,,455117.0,,,-3.257236872668225,-115.5789574544608,-3.4270336196884466,-9.278015638403467,25.08662182461673,-43.55326833696558,3.6,1.69,,,,78.3,2826.0,5.9,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.63,,,,,,,,62.0,2.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Infield shift,Standard,328.0,0.0,0.027000000000000003
886,32,SI,2021-10-20,92.4,0.93,5.99,"Valdez, Framber",657077.0,664285.0,,foul,,,,,12.0,"Alex Verdugo grounds out, second baseman Jose Altuve to first baseman Yuli Gurriel.",L,L,L,BOS,HOU,S,,,0.0,0.0,2021.0,0.89,0.52,0.94,3.16,,,,0.0,8.0,Bot,,,,,455117.0,,,-1.891497626246046,-134.6313515731092,-2.533591983539408,11.248386152763707,28.970874233573838,-25.465653932893186,3.37,1.53,179.0,73.6,19.0,91.6,2169.0,5.7,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.8,,,,,,,,62.0,1.0,Sinker,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Infield shift,Standard,153.0,0.0,-0.038
917,35,SI,2021-10-20,96.4,0.69,5.93,"Valdez, Framber",592669.0,664285.0,grounded_into_double_play,hit_into_play,,,,,5.0,"Hunter Renfroe grounds into a double play, second baseman Jose Altuve to shortstop Carlos Correa to first baseman Yuli Gurriel.   J.D. Martinez out at 2nd.    Hunter Renfroe out at 1st.",L,R,L,BOS,HOU,X,4.0,ground_ball,1.0,2.0,2021.0,1.03,0.3,0.05,2.61,,,502110.0,1.0,7.0,Bot,133.96,141.01,,,455117.0,,,-4.007218143560483,-140.35631940982316,-3.9396143257775997,14.561063789755092,30.26103577684322,-27.551814585713878,3.41,1.56,7.0,109.1,-20.0,95.8,2109.0,5.8,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.7,0.16,0.14400000000000002,0.0,1.0,0.0,0.0,2.0,55.0,4.0,Sinker,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,141.0,-0.01,-0.26
918,40,CU,2021-10-20,80.0,0.86,5.68,"Valdez, Framber",592669.0,664285.0,,swinging_strike_blocked,,,,,13.0,"Hunter Renfroe grounds into a double play, second baseman Jose Altuve to shortstop Carlos Correa to first baseman Yuli Gurriel.   J.D. Martinez out at 2nd.    Hunter Renfroe out at 1st.",L,R,L,BOS,HOU,S,,,1.0,1.0,2021.0,-1.05,-1.43,-1.13,0.57,,,502110.0,1.0,7.0,Bot,,,,,455117.0,,,-2.3855681374767266,-116.47831493716512,-1.7539458258409808,-8.897358657067803,25.375893191668123,-44.92933893604104,3.41,1.56,,,,79.0,2936.0,5.9,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.6,,,,,,,,55.0,3.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,323.0,0.0,-0.086
919,42,CU,2021-10-20,80.2,0.8,5.73,"Valdez, Framber",592669.0,664285.0,,blocked_ball,,,,,13.0,"Hunter Renfroe grounds into a double play, second baseman Jose Altuve to shortstop Carlos Correa to first baseman Yuli Gurriel.   J.D. Martinez out at 2nd.    Hunter Renfroe out at 1st.",L,R,L,BOS,HOU,B,,,0.0,1.0,2021.0,-1.01,-1.23,-1.83,0.51,,,502110.0,1.0,7.0,Bot,,,,,455117.0,,,-3.9122827242846343,-116.64237763719973,-2.4321167806467208,-8.30242076081114,24.150371119721626,-43.076907632733814,3.58,1.87,,,,79.6,2930.0,6.1,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.39,,,,,,,,55.0,2.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,325.0,0.0,0.043
920,45,SI,2021-10-20,95.2,0.81,5.81,"Valdez, Framber",592669.0,664285.0,,called_strike,,,,,7.0,"Hunter Renfroe grounds into a double play, second baseman Jose Altuve to shortstop Carlos Correa to first baseman Yuli Gurriel.   J.D. Martinez out at 2nd.    Hunter Renfroe out at 1st.",L,R,L,BOS,HOU,S,,,0.0,0.0,2021.0,1.19,0.42,-0.47,1.7,,,502110.0,1.0,7.0,Bot,,,,,455117.0,,,-5.937625663144301,-138.41421984416615,-6.0125325595815005,16.576819474869655,30.63435214528475,-25.655442648623353,3.57,1.8,,,,94.1,2310.0,5.6,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.86,,,,,,,,55.0,1.0,Sinker,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,133.0,0.0,-0.048
921,48,SI,2021-10-20,96.0,0.73,5.82,"Valdez, Framber",502110.0,664285.0,walk,ball,,,,,14.0,J.D. Martinez walks.,L,R,L,BOS,HOU,B,,,3.0,2.0,2021.0,1.26,0.63,0.36,1.3,,,,1.0,7.0,Bot,,,,,455117.0,,,-3.769217606719818,-139.65995947259722,-7.7193862665675255,17.384273532593028,30.560507905613107,-22.421682171993343,3.86,1.9,,,,94.9,2243.0,5.6,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.88,,,0.7,1.0,0.0,0.0,,54.0,6.0,Sinker,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,139.0,0.005,0.214
922,51,SI,2021-10-20,96.3,0.75,5.83,"Valdez, Framber",502110.0,664285.0,,ball,,,,,14.0,J.D. Martinez walks.,L,R,L,BOS,HOU,B,,,2.0,2.0,2021.0,1.11,0.72,0.81,1.11,,,,1.0,7.0,Bot,,,,,455117.0,,,-2.3407702841740368,-140.05933152867553,-8.49130089457415,15.174364693420953,30.74372504879149,-21.06818399494223,3.94,1.98,,,,95.4,2263.0,5.7,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.78,,,,,,,,54.0,5.0,Sinker,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,141.0,0.0,0.071
923,54,SI,2021-10-20,94.0,1.13,5.7,"Valdez, Framber",502110.0,664285.0,,called_strike,,,,,14.0,J.D. Martinez walks.,L,R,L,BOS,HOU,S,,,2.0,1.0,2021.0,1.31,0.35,0.55,1.64,,,,1.0,7.0,Bot,,,,,455117.0,,,-4.355946121935907,-136.828626212772,-5.547806217261982,17.422426083258518,30.86158659081164,-26.731683273868352,3.79,1.85,,,,93.0,2272.0,5.7,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.76,,,,,,,,54.0,4.0,Sinker,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,138.0,0.0,-0.053
924,58,CU,2021-10-20,79.8,1.07,5.68,"Valdez, Framber",502110.0,664285.0,,ball,,,,,13.0,J.D. Martinez walks.,L,R,L,BOS,HOU,B,,,1.0,1.0,2021.0,-0.84,-1.37,-0.36,-0.15,,,,1.0,7.0,Bot,,,,,455117.0,,,-1.572047209408206,-116.1387885225843,-3.3918255728568965,-7.140366019639638,25.878029247749723,-43.89268635937121,3.89,1.92,,,,78.7,2852.0,6.0,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.53,,,,,,,,54.0,3.0,Curveball,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,336.0,0.0,0.038
925,61,SI,2021-10-20,94.0,0.79,5.84,"Valdez, Framber",502110.0,664285.0,,ball,,,,,14.0,J.D. Martinez walks.,L,R,L,BOS,HOU,B,,,0.0,1.0,2021.0,0.9,0.47,1.18,0.85,,,,1.0,7.0,Bot,,,,,455117.0,,,-0.9862873375535204,-136.79788548744014,-8.16998803977381,11.51479663880538,30.568180778012806,-24.7045040436885,3.97,2.01,,,,93.2,2086.0,5.9,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.64,,,,,,,,54.0,2.0,Sinker,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,127.0,0.0,0.021
926,63,SI,2021-10-20,93.7,0.99,5.86,"Valdez, Framber",502110.0,664285.0,,swinging_strike,,,,,14.0,J.D. Martinez walks.,L,R,L,BOS,HOU,S,,,0.0,0.0,2021.0,0.86,0.54,0.31,1.3,,,,1.0,7.0,Bot,,,,,455117.0,,,-3.602081527366228,-136.2500161728328,-7.163818061141733,11.485856168904087,30.362653638312057,-24.04208112767149,3.49,1.6,,,,93.1,2115.0,6.0,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.52,,,,,,,,54.0,1.0,Sinker,1.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,Standard,Standard,135.0,0.0,-0.027000000000000003
927,65,SI,2021-10-20,93.5,0.93,6.01,"Valdez, Framber",646240.0,664285.0,home_run,hit_into_play,,,,,6.0,Rafael Devers homers (3) on a fly ball to right field.,L,L,L,BOS,HOU,X,,fly_ball,1.0,0.0,2021.0,1.35,0.56,0.45,2.34,,,,1.0,7.0,Bot,245.27,86.11,,,455117.0,,,-4.15490645359546,-135.98964230988392,-4.876451983660959,17.647463514278396,31.10655195153915,-24.32844166932186,3.37,1.53,402.0,110.7,24.0,92.4,2164.0,5.7,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.77,0.987,1.9609999999999999,2.0,1.0,0.0,3.0,6.0,53.0,2.0,Sinker,0.0,7.0,0.0,7.0,7.0,1.0,1.0,7.0,Infield shift,Standard,140.0,0.006,0.9740000000000001
928,69,SI,2021-10-20,93.2,0.84,6.0,"Valdez, Framber",646240.0,664285.0,,ball,,,,,12.0,Rafael Devers homers (3) on a fly ball to right field.,L,L,L,BOS,HOU,B,,,0.0,0.0,2021.0,1.29,0.25,0.94,4.32,,,,1.0,7.0,Bot,,,,,455117.0,,,-2.560777753207691,-135.62055844400095,0.9066269253679984,16.495351960191698,31.715791036643182,-29.57732668720595,3.52,1.71,,,,91.7,2080.0,5.5,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.95,,,,,,,,53.0,1.0,Sinker,0.0,7.0,0.0,7.0,7.0,0.0,0.0,7.0,Infield shift,Standard,144.0,0.0,0.026000000000000002
929,72,SI,2021-10-20,94.5,0.8,5.79,"Valdez, Framber",593428.0,664285.0,field_out,hit_into_play,,,,,6.0,"Xander Bogaerts grounds out, third baseman Alex Bregman to first baseman Yuli Gurriel.",L,R,L,BOS,HOU,X,5.0,ground_ball,1.0,0.0,2021.0,1.03,0.78,0.31,2.67,,,,0.0,7.0,Bot,93.5,166.08,,,455117.0,,,-3.5317395325872587,-137.5398412384969,-4.14708797767771,13.808030021422214,30.70012333723511,-21.54236772563469,3.47,1.59,5.0,88.4,-28.0,93.7,2184.0,5.8,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.67,0.073,0.07400000000000001,0.0,1.0,0.0,0.0,2.0,52.0,2.0,Sinker,0.0,7.0,0.0,7.0,7.0,0.0,0.0,7.0,Standard,Standard,137.0,-0.003,-0.27899999999999997
930,74,SI,2021-10-20,94.8,0.87,5.85,"Valdez, Framber",593428.0,664285.0,,ball,,,,,12.0,"Xander Bogaerts grounds out, third baseman Alex Bregman to first baseman Yuli Gurriel.",L,R,L,BOS,HOU,B,,,0.0,0.0,2021.0,1.26,0.52,1.33,2.85,,,,0.0,7.0,Bot,,,,,455117.0,,,-1.601667457721368,-138.04723873139764,-3.2914438814633007,16.364080307345006,32.37029055517992,-25.023657599520828,3.66,1.7,,,,93.7,2211.0,5.7,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.79,,,,,,,,52.0,1.0,Sinker,0.0,7.0,0.0,7.0,7.0,0.0,0.0,7.0,Standard,Standard,144.0,0.0,0.038
948,79,SI,2021-10-20,95.7,0.78,5.9,"Valdez, Framber",656941.0,664285.0,field_out,hit_into_play,,,,,12.0,Kyle Schwarber lines out to first baseman Yuli Gurriel.,L,L,L,BOS,HOU,X,3.0,line_drive,1.0,1.0,2021.0,1.02,0.76,1.06,2.55,,543877.0,,2.0,6.0,Bot,164.68,155.02,,,455117.0,,,-1.5464472106953249,-139.35556696154288,-4.923313007396602,13.58988766691273,31.34609700744862,-21.397061058047747,3.37,1.53,149.0,77.4,12.0,95.2,2135.0,6.0,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.51,0.423,0.381,0.0,1.0,0.0,0.0,4.0,47.0,3.0,Sinker,0.0,6.0,0.0,6.0,6.0,0.0,0.0,6.0,Strategic,Standard,149.0,-0.006999999999999999,-0.29
949,82,SI,2021-10-20,94.7,0.83,5.9,"Valdez, Framber",656941.0,664285.0,,swinging_strike,,,,,3.0,Kyle Schwarber lines out to first baseman Yuli Gurriel.,L,L,L,BOS,HOU,S,,,1.0,0.0,2021.0,0.96,0.66,0.28,3.32,,543877.0,,2.0,6.0,Bot,,,,,455117.0,,,-3.5460301739355526,-137.9006214092191,-2.5197941866533395,13.103428407921063,30.71451944581961,-23.405831413846183,3.37,1.53,20.0,,,94.0,2121.0,5.8,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.68,,,,,,,,47.0,2.0,Sinker,0.0,6.0,0.0,6.0,6.0,0.0,0.0,6.0,Strategic,Standard,145.0,0.0,-0.053
950,85,CU,2021-10-20,78.3,0.8,5.73,"Valdez, Framber",656941.0,664285.0,,ball,,,,,13.0,Kyle Schwarber lines out to first baseman Yuli Gurriel.,L,L,L,BOS,HOU,B,,,0.0,0.0,2021.0,-0.96,-1.5,-0.42,1.43,,543877.0,,2.0,6.0,Bot,,,,,455117.0,,,-0.8529652329546318,-113.95471178801874,0.4508881301077778,-8.048889891973442,24.596429439036747,-45.44328398453232,3.59,1.82,,,,77.0,2775.0,5.7,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.75,,,,,,,,47.0,1.0,Curveball,0.0,6.0,0.0,6.0,6.0,0.0,0.0,6.0,Standard,Standard,326.0,0.0,0.025
951,88,SI,2021-10-20,95.1,0.77,5.88,"Valdez, Framber",571771.0,664285.0,field_out,hit_into_play,,,,,5.0,Enrique Hernandez flies out to right fielder Kyle Tucker.,L,R,L,BOS,HOU,X,9.0,fly_ball,0.0,0.0,2021.0,1.12,0.53,0.09,2.38,,543877.0,,1.0,6.0,Bot,178.52,99.19,,,455117.0,,,-4.22789704625247,-138.49209782981293,-4.6789032323188495,15.37838846707452,30.65450871470164,-24.512896074568328,3.32,1.51,280.0,97.2,49.0,94.2,2257.0,5.7,660900.0,664285.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,642350.0,663656.0,54.82,0.01,0.011000000000000001,0.0,1.0,0.0,0.0,3.0,46.0,1.0,Sinker,0.0,6.0,0.0,6.0,6.0,0.0,0.0,6.0,Standard,Standard,140.0,-0.01,-0.32899999999999996
