,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
41,144,FF,2021-10-22,98.2,-0.46,6.33,"Stanek, Ryne",656941.0,592773.0,,ball,,,,,1.0,Kyle Schwarber pops out to shortstop Carlos Correa.,L,L,R,HOU,BOS,B,,,2.0,2.0,2021.0,-0.8,1.32,-0.78,2.92,,,,2.0,8.0,Top,,,,,455117.0,,,0.958371252813934,-142.7976429127591,-6.718627344436959,-11.071911986213756,35.16069928055846,-12.750323154073806,3.21,1.53,,,,97.3,2302.0,6.0,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.5,,,,,,,,56.0,6.0,4-Seam Fastball,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Infield shift,Standard,213.0,0.0,0.043
42,150,FF,2021-10-22,96.4,-0.6,6.25,"Stanek, Ryne",656941.0,592773.0,,ball,,,,,12.0,Kyle Schwarber pops out to shortstop Carlos Correa.,L,L,R,HOU,BOS,B,,,1.0,2.0,2021.0,-0.79,1.31,1.43,3.39,,,,2.0,8.0,Top,,,,,455117.0,,,7.135866434433223,-140.1914383784229,-4.984046851237529,-12.014578950410824,32.07277009217953,-13.901493919633012,3.2,1.52,,,,95.9,2194.0,6.0,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.45,,,,,,,,56.0,5.0,4-Seam Fastball,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Infield shift,Standard,219.0,0.0,0.018000000000000002
43,158,FS,2021-10-22,88.3,-0.41,6.12,"Stanek, Ryne",656941.0,592773.0,,ball,,,,,7.0,Kyle Schwarber pops out to shortstop Carlos Correa.,L,L,R,HOU,BOS,B,,,0.0,2.0,2021.0,-0.81,0.68,-0.81,1.86,,,,2.0,8.0,Top,,,,,455117.0,,,0.7219958256865522,-128.64168508533146,-5.7485527784542665,-9.167963514056405,25.28405749509253,-23.668221055187274,3.36,1.6,,,,88.6,870.0,6.3,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.19,,,,,,,,56.0,4.0,Split-Finger,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Infield shift,Standard,236.0,0.0,0.011000000000000001
44,161,FS,2021-10-22,88.9,-0.25,6.26,"Stanek, Ryne",656941.0,592773.0,,foul,,,,,9.0,Kyle Schwarber pops out to shortstop Carlos Correa.,L,L,R,HOU,BOS,S,,,0.0,2.0,2021.0,-0.28,0.82,0.3,1.42,,,,2.0,8.0,Top,,,,,455117.0,,,1.9302914697185816,-129.3644057789376,-7.516871600008275,-3.5027693823231343,26.772610270065094,-21.594835871755823,3.37,1.53,2.0,10.1,47.0,88.6,951.0,6.1,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.41,,,,,,,,56.0,3.0,Split-Finger,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Infield shift,Standard,234.0,0.0,0.0
45,167,SL,2021-10-22,86.0,-0.32,6.17,"Stanek, Ryne",656941.0,592773.0,,called_strike,,,,,7.0,Kyle Schwarber pops out to shortstop Carlos Correa.,L,L,R,HOU,BOS,S,,,0.0,1.0,2021.0,0.21,-0.14,-0.52,2.18,,,,2.0,8.0,Top,,,,,455117.0,,,-0.8951970049735034,-125.32528640532135,-2.9719940952617137,2.371557120895046,23.501693726255798,-33.31758005593357,3.39,1.69,,,,86.2,2533.0,6.2,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.3,,,,,,,,56.0,2.0,Slider,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Infield shift,Standard,41.0,0.0,-0.024
46,175,FF,2021-10-22,97.6,-0.63,6.14,"Stanek, Ryne",656941.0,592773.0,,called_strike,,,,,5.0,Kyle Schwarber pops out to shortstop Carlos Correa.,L,L,R,HOU,BOS,S,,,0.0,0.0,2021.0,-1.15,1.2,-0.21,2.39,,,,2.0,8.0,Top,,,,,455117.0,,,3.74715908261541,-142.0005359506886,-7.304855214533994,-16.431592577727596,32.8646320059118,-14.456661782742426,3.42,1.53,,,,96.9,2251.0,5.9,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.57,,,,,,,,56.0,1.0,4-Seam Fastball,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Infield shift,Standard,215.0,0.0,-0.018000000000000002
47,181,FS,2021-10-22,88.3,-0.2,6.29,"Stanek, Ryne",543877.0,592773.0,field_out,hit_into_play,,,,,9.0,Christian Vazquez pops out to first baseman Yuli Gurriel.,L,R,R,HOU,BOS,X,3.0,popup,1.0,2.0,2021.0,-0.62,0.69,0.35,1.63,,,,1.0,8.0,Top,156.2,171.9,,,455117.0,,,2.6374359948174892,-128.47106680515236,-6.695934706757614,-7.437688137256218,25.22188319741531,-23.43607394611732,3.29,1.49,105.0,76.5,71.0,88.4,943.0,6.3,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.25,0.006999999999999999,0.006999999999999999,0.0,1.0,0.0,0.0,3.0,55.0,6.0,Split-Finger,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,235.0,0.023,-0.114
48,194,FF,2021-10-22,96.8,-0.28,6.3,"Stanek, Ryne",543877.0,592773.0,,foul,,,,,3.0,Christian Vazquez pops out to first baseman Yuli Gurriel.,L,R,R,HOU,BOS,S,,,1.0,2.0,2021.0,-0.85,1.49,0.3,2.83,,,,1.0,8.0,Top,,,,,455117.0,,,3.479001574087488,-140.83248351182388,-7.046298054234349,-12.139827135446339,33.31046039542442,-10.974095648082537,3.29,1.49,198.0,75.8,56.0,96.2,2133.0,6.1,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.44,,,,,,,,55.0,5.0,4-Seam Fastball,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,214.0,0.0,0.0
49,196,FF,2021-10-22,97.4,-0.48,6.36,"Stanek, Ryne",543877.0,592773.0,,ball,,,,,12.0,Christian Vazquez pops out to first baseman Yuli Gurriel.,L,R,R,HOU,BOS,B,,,0.0,2.0,2021.0,-0.6,1.55,2.13,3.69,,,,1.0,8.0,Top,,,,,455117.0,,,8.304557390700735,-141.54324304821506,-5.11994162928422,-10.019192627133409,32.943397000709496,-10.38923903701238,3.33,1.54,,,,96.4,2375.0,5.8,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.65,,,,,,,,55.0,4.0,4-Seam Fastball,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,215.0,0.0,0.013000000000000001
50,211,SL,2021-10-22,87.3,-0.51,6.12,"Stanek, Ryne",543877.0,592773.0,,foul,,,,,2.0,Christian Vazquez pops out to first baseman Yuli Gurriel.,L,R,R,HOU,BOS,S,,,0.0,2.0,2021.0,0.21,0.03,-0.16,3.08,,,,1.0,8.0,Top,,,,,455117.0,,,0.4115304938100038,-127.15674166908985,-1.2613939571575217,2.1865398212062432,25.1272384545614,-31.75617902632121,3.29,1.49,134.0,71.2,15.0,87.2,2541.0,6.1,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.44,,,,,,,,55.0,3.0,Slider,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,53.0,0.0,0.0
