,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
39,CH,2023-08-19,91.4,-2.1,5.84,"Cole, Gerrit",457759,543037,,ball,,,,,14,Justin Turner flies out to right fielder Aaron Judge.,R,R,R,NYY,BOS,B,,,1,1,2023,-1.22,0.75,0.44,1.25,,,646240.0,2,2,Top,,,,,666163,,,9.052069473206648,-132.66524171148373,-7.327629467099219,-16.287240231152786,26.066559990809655,-21.945566735746684,3.27,1.44,,,,91.9,1799,6.6,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,53.93,,,,,,,,15,3,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,228,0.0,0.036000000000000004
40,FF,2023-08-19,96.7,-2.17,5.96,"Cole, Gerrit",457759,543037,,ball,,,,,11,Justin Turner flies out to right fielder Aaron Judge.,R,R,R,NYY,BOS,B,,,0,1,2023,-0.85,1.21,-0.37,4.16,,,646240.0,2,2,Top,,,,,666163,,,6.747820202434022,-140.76595944406762,-2.044084957644383,-12.760491223781091,30.484445042683802,-15.748557560023727,3.32,1.44,,,,97.2,2424,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.04,,,,,,,,15,2,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,212,0.0,0.023
41,FC,2023-08-19,94.7,-2.38,5.84,"Cole, Gerrit",457759,543037,,called_strike,,,,,6,Justin Turner flies out to right fielder Aaron Judge.,R,R,R,NYY,BOS,S,,,0,0,2023,0.04,1.12,0.34,2.23,,,646240.0,2,2,Top,,,,,666163,,,7.049048309460733,-137.81350845206686,-6.33842181184426,-0.9428081293441368,27.98838372191441,-16.61619231217918,3.35,1.49,,,,95.4,2602,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.02,,,,,,,,15,1,Cutter,0,4,4,0,4,0,4,0,Standard,Standard,193,0.0,-0.040999999999999995
42,FF,2023-08-19,96.7,-2.08,6.01,"Cole, Gerrit",646240,543037,single,hit_into_play,,,,,5,Rafael Devers singles on a sharp line drive to right fielder Aaron Judge.,R,L,R,NYY,BOS,X,9.0,line_drive,2,0,2023,-0.41,1.41,-0.09,2.63,,,,2,2,Top,154.29,98.26,,,666163,,,6.242429466086347,-140.73961804475383,-6.713063326116696,-6.714860793994951,29.192552883560296,-12.145333285113852,3.44,1.59,141.0,101.7,8.0,97.3,2426,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.1,0.703,0.6890000000000001,0.9,1.0,1.0,0.0,4.0,14,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Strategic,Standard,204,-0.006,0.09300000000000001
43,KC,2023-08-19,83.6,-2.15,5.91,"Cole, Gerrit",646240,543037,,ball,,,,,14,Rafael Devers singles on a sharp line drive to right fielder Aaron Judge.,R,L,R,NYY,BOS,B,,,1,0,2023,0.87,-1.21,1.43,-0.5,,,,2,2,Top,,,,,666163,,,6.5327245662552045,-121.43436459442364,-5.800501814605617,6.936010610898028,28.049552717981033,-42.837841077981274,3.15,1.49,,,,82.8,2982,6.3,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.23,,,,,,,,14,2,Knuckle Curve,0,4,4,0,4,0,4,0,Strategic,Standard,34,0.0,0.021
44,FF,2023-08-19,97.2,-2.2,6.03,"Cole, Gerrit",646240,543037,,ball,,,,,12,Rafael Devers singles on a sharp line drive to right fielder Aaron Judge.,R,L,R,NYY,BOS,B,,,0,0,2023,-0.79,1.4,0.94,2.47,,,,2,2,Top,,,,,666163,,,10.22391203991508,-140.9129458756531,-7.158480611129456,-12.968967705333322,35.798313905505665,-11.954316988702855,3.39,1.51,,,,96.8,2465,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,53.99,,,,,,,,14,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Strategic,Standard,214,0.0,0.018000000000000002
45,KC,2023-08-19,84.0,-2.15,6.04,"Cole, Gerrit",657077,543037,strikeout,swinging_strike,,,,,8,Alex Verdugo strikes out swinging.,R,L,R,NYY,BOS,S,2.0,,2,2,2023,0.88,-1.3,-0.13,1.53,,,,1,2,Top,,,,,666163,,,2.9352593108743665,-122.18791049626532,-1.317462952958316,7.979154489868704,29.317007486582966,-44.971397256061536,3.52,1.57,,,,83.3,2768,6.3,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.17,,,0.0,1.0,0.0,0.0,,13,5,Knuckle Curve,0,4,4,0,4,0,4,0,Standard,Standard,35,0.006999999999999999,-0.149
46,FF,2023-08-19,97.1,-2.09,6.01,"Cole, Gerrit",657077,543037,,foul,,,,,1,Alex Verdugo strikes out swinging.,R,L,R,NYY,BOS,S,,,2,1,2023,-0.69,1.49,-0.36,3.02,,,,1,2,Top,,,,,666163,,,6.2157332881074385,-141.15280296949527,-5.862018694556477,-10.659689354538745,34.446346590377935,-11.090216696584463,3.52,1.57,203.0,75.9,55.0,96.7,2361,6.3,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.19,,,,,,,,13,4,4-Seam Fastball,0,4,4,0,4,0,4,0,Strategic,Standard,209,0.0,-0.048
47,FF,2023-08-19,97.5,-2.14,6.06,"Cole, Gerrit",657077,543037,,ball,,,,,11,Alex Verdugo strikes out swinging.,R,L,R,NYY,BOS,B,,,1,1,2023,-0.79,1.34,-1.2,2.7,,,,1,2,Top,,,,,666163,,,4.343537275637583,-141.8223584986499,-6.592490481297859,-11.628925025149874,34.0221380565037,-12.759598697292375,3.42,1.47,,,,97.4,2479,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.13,,,,,,,,13,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Strategic,Standard,210,0.0,0.035
48,FC,2023-08-19,92.5,-2.38,6.13,"Cole, Gerrit",657077,543037,,ball,,,,,12,Alex Verdugo strikes out swinging.,R,L,R,NYY,BOS,B,,,0,1,2023,0.38,0.92,0.46,4.21,,,,1,2,Top,,,,,666163,,,6.383307929479512,-134.65861829696487,-1.121925472371102,3.2990900783066484,28.34190294388806,-20.874338217201284,3.44,1.47,,,,92.3,2502,6.1,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.43,,,,,,,,13,2,Cutter,0,4,4,0,4,0,4,0,Strategic,Standard,187,0.0,0.02
