,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
10,KC,2023-08-13,84.3,-2.38,5.83,"Cole, Gerrit",650333,543037,,ball,,,,,7,Luis Arraez singles on a ground ball to right fielder Aaron Judge.   Josh Bell to 2nd.,R,L,R,MIA,NYY,B,,,1,2,2023,0.9,-1.05,-0.82,1.36,,,605137.0,0,6,Bot,,,,,666163,,,1.8289170544190634,-122.7202059865492,-1.8475259253197425,8.634792747072549,27.680001946111368,-42.528481259890974,3.08,1.42,,,,83.8,2760,6.3,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.22,,,,,,,,50,4,Knuckle Curve,1,7,1,7,7,1,1,7,Strategic,Standard,43,0.0,0.068
11,FF,2023-08-13,97.3,-2.29,5.8,"Cole, Gerrit",650333,543037,,foul,,,,,4,Luis Arraez singles on a ground ball to right fielder Aaron Judge.   Josh Bell to 2nd.,R,L,R,MIA,NYY,S,,,1,1,2023,-0.47,1.58,-0.48,2.28,,,605137.0,0,6,Bot,,,,,666163,,,5.9009945726472814,-141.3562481597543,-7.4589204470676025,-7.6568005838339905,34.85593720994489,-9.471317893531143,3.18,1.52,227.0,76.4,44.0,96.8,2293,6.3,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.24,,,,,,,,50,3,4-Seam Fastball,1,7,1,7,7,1,1,7,Strategic,Standard,210,0.0,-0.087
12,FF,2023-08-13,96.7,-2.23,5.88,"Cole, Gerrit",650333,543037,,ball,,,,,11,Luis Arraez singles on a ground ball to right fielder Aaron Judge.   Josh Bell to 2nd.,R,L,R,MIA,NYY,B,,,0,1,2023,-0.73,1.4,-1.72,3.58,,,605137.0,0,6,Bot,,,,,666163,,,3.0047567980204075,-140.6826100946707,-3.6992031868496937,-10.425715543550114,34.73932774155338,-13.073563578843142,3.12,1.48,,,,95.9,2295,6.1,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.44,,,,,,,,50,2,4-Seam Fastball,1,7,1,7,7,1,1,7,Strategic,Standard,212,0.0,0.04
13,FC,2023-08-13,94.0,-2.36,5.87,"Cole, Gerrit",650333,543037,,called_strike,,,,,11,Luis Arraez singles on a ground ball to right fielder Aaron Judge.   Josh Bell to 2nd.,R,L,R,MIA,NYY,S,,,0,0,2023,0.22,1.2,-0.28,3.24,,,605137.0,0,6,Bot,,,,,666163,,,4.871447404153841,-136.7883596624363,-3.7756284295882,1.7671250741829565,29.43306299390745,-16.487648466086892,3.02,1.38,,,,93.8,2489,6.1,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.37,,,,,,,,50,1,Cutter,1,7,1,7,7,1,1,7,Strategic,Standard,192,0.0,-0.055
14,FF,2023-08-13,95.1,-2.1,5.99,"Cole, Gerrit",605137,543037,walk,ball,,,,,11,Josh Bell walks.,R,L,R,MIA,NYY,B,,,3,0,2023,-0.59,1.45,-0.78,4.16,,,,0,6,Bot,,,,,666163,,,4.746252892330901,-138.37542829343056,-2.352333869506824,-8.613061433260443,32.242888684319084,-13.306610911115452,3.76,1.77,,,,94.4,2319,6.0,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.53,,,0.7,1.0,0.0,0.0,,49,4,4-Seam Fastball,1,7,1,7,7,1,1,7,Strategic,Standard,206,0.013999999999999999,0.154
15,FC,2023-08-13,92.7,-2.23,5.88,"Cole, Gerrit",605137,543037,,ball,,,,,12,Josh Bell walks.,R,L,R,MIA,NYY,B,,,2,0,2023,0.28,1.11,0.79,4.26,,,,0,6,Bot,,,,,666163,,,7.0875889194984,-134.93634755678485,-0.8034596882027494,1.9206333104550848,28.903713213924977,-18.5986251310808,3.64,1.75,,,,92.4,2430,6.1,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.45,,,,,,,,49,3,Cutter,1,7,1,7,7,1,1,7,Strategic,Standard,191,0.0,0.135
16,KC,2023-08-13,83.9,-2.18,5.96,"Cole, Gerrit",605137,543037,,ball,,,,,14,Josh Bell walks.,R,L,R,MIA,NYY,B,,,1,0,2023,0.59,-1.33,1.78,1.64,,,,0,6,Bot,,,,,666163,,,7.9375958374130775,-121.8531669790947,-0.8461619988028007,4.017480077092747,27.296984962353463,-45.34357248239833,3.62,1.73,,,,82.9,2809,6.0,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.46,,,,,,,,49,2,Knuckle Curve,1,7,1,7,7,1,1,7,Strategic,Standard,40,0.0,0.063
17,KC,2023-08-13,84.4,-2.18,5.9,"Cole, Gerrit",605137,543037,,ball,,,,,14,Josh Bell walks.,R,L,R,MIA,NYY,B,,,0,0,2023,0.88,-1.12,1.74,0.04,,,,0,6,Bot,,,,,666163,,,7.322559897725513,-122.58066138423484,-4.89919073580375,7.1271219494516584,28.13386020088763,-42.44797993850987,3.68,1.77,,,,83.4,2794,6.1,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.4,,,,,,,,49,1,Knuckle Curve,1,7,1,7,7,1,1,7,Strategic,Standard,35,0.0,0.037000000000000005
18,KC,2023-08-13,82.9,-2.13,5.84,"Cole, Gerrit",665862,543037,strikeout,swinging_strike_blocked,,,,,14,Jazz Chisholm Jr.  strikes out swinging.,R,L,R,MIA,NYY,S,2.0,,0,2,2023,0.93,-1.34,0.34,0.79,,,,2,5,Bot,,,,,666163,,,3.821189553569047,-120.68044374558045,-2.3320005466861624,8.099108175476559,26.822971225375625,-44.892157482122066,3.54,1.67,,,,81.9,2793,5.9,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.61,,,0.0,1.0,0.0,0.0,,44,3,Knuckle Curve,1,6,1,6,6,1,1,6,Strategic,Standard,39,-0.004,-0.064
19,KC,2023-08-13,83.5,-2.07,5.98,"Cole, Gerrit",665862,543037,,swinging_strike,,,,,14,Jazz Chisholm Jr.  strikes out swinging.,R,L,R,MIA,NYY,S,,,0,1,2023,0.82,-1.36,0.7,1.32,,,,2,5,Bot,,,,,666163,,,4.746204969389988,-121.55913938244814,-1.5386945317302738,7.070618080371371,26.374818491475374,-45.445223450309456,3.54,1.67,,,,82.7,2821,6.0,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.54,,,,,,,,44,2,Knuckle Curve,1,6,1,6,6,1,1,6,Strategic,Standard,40,0.0,-0.024
20,FF,2023-08-13,96.3,-2.12,5.97,"Cole, Gerrit",665862,543037,,called_strike,,,,,9,Jazz Chisholm Jr.  strikes out swinging.,R,L,R,MIA,NYY,S,,,0,0,2023,-0.54,1.55,0.49,2.05,,,,2,5,Bot,,,,,666163,,,8.112398064517855,-139.85559372546976,-8.292669117531894,-8.909520355926107,31.12638210735437,-10.043914931299186,3.56,1.69,6.0,,,95.8,2342,6.1,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.45,,,,,,,,44,1,4-Seam Fastball,1,6,1,6,6,1,1,6,Strategic,Standard,211,0.0,-0.018000000000000002
21,SL,2023-08-13,89.4,-2.06,5.83,"Cole, Gerrit",607732,543037,strikeout,swinging_strike,,,,,14,Jacob Stallings strikes out swinging.,R,R,R,MIA,NYY,S,2.0,,1,2,2023,0.33,0.35,1.62,2.27,,,,1,5,Bot,,,,,666163,,,8.34173461504543,-129.92669642776409,-3.513372793881365,2.0300137776011766,26.892287446549997,-27.613527222260057,3.24,1.47,,,,89.2,2545,6.2,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.29,,,0.0,1.0,0.0,0.0,,43,4,Slider,1,6,1,6,6,1,1,6,Standard,Standard,126,-0.008,-0.12
22,FC,2023-08-13,93.0,-2.05,5.94,"Cole, Gerrit",607732,543037,,ball,,,,,14,Jacob Stallings strikes out swinging.,R,R,R,MIA,NYY,B,,,0,2,2023,0.21,1.3,1.47,1.6,,,,1,5,Bot,,,,,666163,,,8.496919919255262,-135.08842377915994,-8.164221766918331,0.8244135376892174,27.465934412317313,-14.682504901795278,3.06,1.35,,,,92.6,2497,6.0,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.5,,,,,,,,43,3,Cutter,1,6,1,6,6,1,1,6,Standard,Standard,200,0.0,0.013000000000000001
23,FC,2023-08-13,91.5,-2.11,5.94,"Cole, Gerrit",607732,543037,,called_strike,,,,,12,Jacob Stallings strikes out swinging.,R,R,R,MIA,NYY,S,,,0,1,2023,0.28,1.05,0.98,2.5,,,,1,5,Bot,,,,,666163,,,7.191130423263947,-133.17523026214627,-5.115157617222345,1.847194902673368,26.779225684013557,-18.700331691276446,3.12,1.41,,,,91.6,2449,6.2,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.3,,,,,,,,43,2,Cutter,1,6,1,6,6,1,1,6,Standard,Standard,183,0.0,-0.036000000000000004
24,FF,2023-08-13,95.6,-2.15,5.96,"Cole, Gerrit",607732,543037,,called_strike,,,,,12,Jacob Stallings strikes out swinging.,R,R,R,MIA,NYY,S,,,0,0,2023,-0.63,1.46,0.15,3.4,,,,1,5,Bot,,,,,666163,,,7.507451360175347,-139.0996645373452,-4.425205045721504,-9.83628564585908,30.412159211484838,-12.453075599101634,3.16,1.43,,,,96.0,2340,6.4,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.06,,,,,,,,43,1,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard,205,0.0,-0.026000000000000002
25,SL,2023-08-13,89.4,-2.19,5.93,"Cole, Gerrit",621563,543037,field_out,hit_into_play,,,,,9,Joey Wendle flies out to left fielder Billy McKinney.,R,L,R,MIA,NYY,X,7.0,fly_ball,1,1,2023,0.41,0.24,0.49,2.06,,,,0,5,Bot,67.93,127.42,,,666163,,,5.708747103506959,-130.08809009230063,-4.01358407920295,3.505656800548421,26.155572722965363,-28.841650079617253,3.27,1.56,230.0,80.3,53.0,88.9,2437,5.9,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.62,0.046,0.055,0.0,1.0,0.0,0.0,3.0,42,3,Slider,1,6,1,6,6,1,1,6,Standard,Standard,140,-0.013000000000000001,-0.226
26,FF,2023-08-13,94.7,-2.01,6.03,"Cole, Gerrit",621563,543037,,foul,,,,,4,Joey Wendle flies out to left fielder Billy McKinney.,R,L,R,MIA,NYY,S,,,1,0,2023,-0.69,1.69,-0.4,2.32,,,,0,5,Bot,,,,,666163,,,5.708370764774644,-137.5754966713967,-7.663818539607083,-10.107798254987555,34.59124938520065,-9.147386516414926,3.27,1.56,193.0,71.1,40.0,93.8,2378,6.1,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.36,,,,,,,,42,2,4-Seam Fastball,1,6,1,6,6,1,1,6,Strategic,Standard,207,0.0,-0.047
27,SL,2023-08-13,90.3,-2.28,6.07,"Cole, Gerrit",621563,543037,,ball,,,,,11,Joey Wendle flies out to left fielder Billy McKinney.,R,L,R,MIA,NYY,B,,,0,0,2023,0.45,0.86,-0.57,3.53,,,,0,5,Bot,,,,,666163,,,3.2892710607543396,-131.464463578304,-2.158926612540752,4.480049682836597,29.708528261493665,-22.0265558431396,3.19,1.56,,,,89.5,2397,5.9,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.58,,,,,,,,42,1,Slider,1,6,1,6,6,1,1,6,Strategic,Standard,175,0.0,0.037000000000000005
28,SL,2023-08-13,90.1,-2.29,5.76,"Cole, Gerrit",493329,543037,grounded_into_double_play,hit_into_play,,,,,9,"Yuli Gurriel grounds into a double play, second baseman Gleyber Torres to shortstop Anthony Volpe to first baseman Jake Bauers.   Jake Burger out at 2nd.    Yuli Gurriel out at 1st.",R,R,R,MIA,NYY,X,4.0,ground_ball,0,2,2023,0.44,-0.02,0.71,1.79,,,669394.0,1,4,Bot,147.33,159.06,,,666163,,,6.504452256845202,-131.11490556545377,-3.8751733356414735,3.6619163208818986,27.838633083722744,-31.74222133314473,3.38,1.61,9.0,102.0,-11.0,90.0,2556,6.3,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.24,0.23399999999999999,0.22399999999999998,0.0,1.0,0.0,0.0,2.0,35,3,Slider,1,4,1,4,4,1,1,4,Standard,Standard,134,-0.053,-0.27899999999999997
29,FF,2023-08-13,97.1,-2.11,5.88,"Cole, Gerrit",493329,543037,,foul,,,,,2,"Yuli Gurriel grounds into a double play, second baseman Gleyber Torres to shortstop Anthony Volpe to first baseman Jake Bauers.   Jake Burger out at 2nd.    Yuli Gurriel out at 1st.",R,R,R,MIA,NYY,S,,,0,1,2023,-0.57,1.66,-0.2,3.15,,,669394.0,1,4,Bot,,,,,666163,,,6.394565548020082,-141.19307223702558,-5.566928160742131,-9.067921916075797,33.23304670934337,-8.843801683797475,3.38,1.61,,,,96.7,2422,6.2,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.34,,,,,,,,35,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,211,0.0,-0.063
30,FC,2023-08-13,94.4,-2.3,5.82,"Cole, Gerrit",493329,543037,,foul,,,,,6,"Yuli Gurriel grounds into a double play, second baseman Gleyber Torres to shortstop Anthony Volpe to first baseman Jake Bauers.   Jake Burger out at 2nd.    Yuli Gurriel out at 1st.",R,R,R,MIA,NYY,S,,,0,0,2023,-0.07,1.32,0.44,2.63,,,669394.0,1,4,Bot,,,,,666163,,,7.278602613673622,-137.25732563675257,-5.534786063472843,-2.4591743999766127,29.941827585063475,-14.454636857243026,3.38,1.61,181.0,72.9,58.0,94.3,2581,6.2,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.28,,,,,,,,35,1,Cutter,1,4,1,4,4,1,1,4,Standard,Standard,198,0.0,-0.049
31,CH,2023-08-13,91.8,-2.16,5.72,"Cole, Gerrit",660821,543037,field_out,hit_into_play,,,,,13,Jesus Sanchez lines out to shortstop Anthony Volpe.,R,L,R,MIA,NYY,X,6.0,line_drive,1,2,2023,-1.27,0.8,-0.37,1.05,,,669394.0,0,4,Bot,117.04,138.86,,,666163,,,7.2809850425217055,-133.36695053876883,-7.689367683232219,-16.71282171931435,28.187869200232306,-21.117717777343174,3.46,1.66,156.0,82.3,10.0,91.7,1612,6.3,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.2,0.457,0.42,0.0,1.0,0.0,0.0,4.0,34,4,Changeup,1,4,1,4,4,1,1,4,Strategic,Standard,230,-0.038,-0.254
32,CH,2023-08-13,90.6,-2.25,5.7,"Cole, Gerrit",660821,543037,,ball,,,,,13,Jesus Sanchez lines out to shortstop Anthony Volpe.,R,L,R,MIA,NYY,B,,,0,2,2023,-1.19,0.54,-1.36,1.16,,,669394.0,0,4,Bot,,,,,666163,,,4.763883057688196,-131.72175333875975,-6.559853583622202,-14.888786323123606,27.713473714816068,-24.647554887014167,3.32,1.56,,,,90.5,1474,6.3,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.23,,,,,,,,34,3,Changeup,1,4,1,4,4,1,1,4,Strategic,Standard,231,0.0,0.013999999999999999
33,FC,2023-08-13,94.8,-2.26,5.89,"Cole, Gerrit",660821,543037,,foul,,,,,12,Jesus Sanchez lines out to shortstop Anthony Volpe.,R,L,R,MIA,NYY,S,,,0,1,2023,-0.19,1.41,0.29,3.75,,,669394.0,0,4,Bot,,,,,666163,,,7.116787737952849,-137.96256492828732,-3.07363107535678,-4.06891951523645,30.619564914697172,-13.719342885756964,3.46,1.66,234.0,74.3,33.0,95.2,2488,6.5,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,53.97,,,,,,,,34,2,Cutter,1,4,1,4,4,1,1,4,Strategic,Standard,195,0.0,-0.062
34,SL,2023-08-13,90.7,-2.55,5.73,"Cole, Gerrit",660821,543037,,called_strike,,,,,7,Jesus Sanchez lines out to shortstop Anthony Volpe.,R,L,R,MIA,NYY,S,,,0,0,2023,0.27,0.73,-0.64,1.86,,,669394.0,0,4,Bot,,,,,666163,,,4.192273820511722,-131.97293915925752,-5.3160684804715705,2.2305081918916367,27.762203399390998,-22.754002942215052,3.34,1.56,,,,90.5,2477,6.2,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.34,,,,,,,,34,1,Slider,1,4,1,4,4,1,1,4,Strategic,Standard,190,0.0,-0.055
35,FF,2023-08-13,96.9,-2.02,5.96,"Cole, Gerrit",669394,543037,single,hit_into_play,,,,,5,Jake Burger singles on a line drive to left fielder Billy McKinney.,R,R,R,MIA,NYY,X,7.0,line_drive,2,2,2023,-0.67,1.57,-0.04,2.57,,,,0,4,Bot,72.66,99.0,,,666163,,,6.800777185057303,-140.69727824080329,-6.996114917154225,-10.543969878313076,35.601309863713475,-9.903762859833538,3.23,1.53,177.0,113.1,7.0,96.0,2419,6.2,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.34,0.7290000000000001,0.687,0.9,1.0,1.0,0.0,5.0,33,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,215,0.042,0.41200000000000003
36,SL,2023-08-13,88.8,-2.08,5.91,"Cole, Gerrit",669394,543037,,ball,,,,,14,Jake Burger singles on a line drive to left fielder Billy McKinney.,R,R,R,MIA,NYY,B,,,1,2,2023,0.54,0.29,1.34,1.07,,,,0,4,Bot,,,,,666163,,,7.189830854021416,-129.04770228419136,-6.359576526923049,4.538578340705378,27.548587071162586,-27.813156707024113,3.17,1.53,,,,88.3,2469,6.1,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.4,,,,,,,,33,4,Slider,1,4,1,4,4,1,1,4,Standard,Standard,117,0.0,0.038
37,FF,2023-08-13,97.8,-2.06,5.86,"Cole, Gerrit",669394,543037,,ball,,,,,14,Jake Burger singles on a line drive to left fielder Billy McKinney.,R,R,R,MIA,NYY,B,,,0,2,2023,-0.87,1.5,1.66,2.23,,,,0,4,Bot,,,,,666163,,,11.967367617812965,-141.65153944120752,-7.616368214479509,-14.567909082806272,35.0870073789949,-10.379103985891147,3.21,1.55,,,,97.0,2427,6.3,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.23,,,,,,,,33,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,218,0.0,0.022000000000000002
38,SL,2023-08-13,89.6,-2.02,5.95,"Cole, Gerrit",669394,543037,,swinging_strike,,,,,14,Jake Burger singles on a line drive to left fielder Billy McKinney.,R,R,R,MIA,NYY,S,,,0,1,2023,0.43,0.5,0.9,1.47,,,,0,4,Bot,,,,,666163,,,6.275868273252928,-130.22733125645823,-6.091343372737319,3.5540633254911174,27.307023302918076,-25.411124296599663,3.23,1.53,,,,89.1,2407,6.0,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.48,,,,,,,,33,2,Slider,1,4,1,4,4,1,1,4,Standard,Standard,155,0.0,-0.048
